hgnc_symbol	ensembl_gene_id	gene_biotype
	ENSG00000276306	unprocessed_pseudogene
KIR2DL3	ENSG00000278327	protein_coding
KIR2DL4	ENSG00000274955	protein_coding
LILRP2	ENSG00000274120	transcribed_processed_pseudogene
OR9G4	ENSG00000262647	protein_coding
FCAR	ENSG00000275136	protein_coding
	ENSG00000275795	unprocessed_pseudogene
OR5G3	ENSG00000281107	protein_coding
KIR2DP1	ENSG00000278339	unprocessed_pseudogene
OR9G3P	ENSG00000262268	unprocessed_pseudogene
OR5G1P	ENSG00000281313	unprocessed_pseudogene
KIR2DL5B	ENSG00000275937	protein_coding
OR5G4P	ENSG00000281279	unprocessed_pseudogene
KIR3DL1	ENSG00000278079	protein_coding
OR5G5P	ENSG00000262535	transcribed_unprocessed_pseudogene
KIR2DS2	ENSG00000276425	protein_coding
KIR2DS2	ENSG00000277885	protein_coding
KIR2DS1	ENSG00000275421	protein_coding
	ENSG00000262025	processed_pseudogene
KIR2DL2	ENSG00000276011	protein_coding
	ENSG00000263275	lncRNA
OR9G2P	ENSG00000281777	unprocessed_pseudogene
KIR3DL3	ENSG00000275172	protein_coding
	ENSG00000262299	unprocessed_pseudogene
OR9G1	ENSG00000261958	protein_coding
KIR3DL1	ENSG00000277175	protein_coding
KIR3DL3	ENSG00000277552	protein_coding
GEMIN2P1	ENSG00000262767	processed_pseudogene
	ENSG00000281683	processed_pseudogene
KIR2DS3	ENSG00000277657	protein_coding
OR9G9	ENSG00000262191	protein_coding
GATAD2B	ENSG00000261992	protein_coding
LINC02735	ENSG00000281839	lncRNA
CCDC92	ENSG00000275035	protein_coding
KIR3DL3	ENSG00000275513	protein_coding
KIR2DL4	ENSG00000273498	protein_coding
	ENSG00000282507	lncRNA
	ENSG00000274106	unprocessed_pseudogene
KRT18P40	ENSG00000277976	unprocessed_pseudogene
	ENSG00000279974	lncRNA
ZNF430	ENSG00000278780	protein_coding
	ENSG00000276324	unprocessed_pseudogene
LILRP1	ENSG00000277240	unprocessed_pseudogene
KIR2DP1	ENSG00000273955	unprocessed_pseudogene
	ENSG00000275021	snRNA
	ENSG00000276197	misc_RNA
RNA5-8SN5	ENSG00000274917	rRNA
	ENSG00000273730	rRNA
	ENSG00000273937	misc_RNA
	ENSG00000274449	lncRNA
	ENSG00000279318	TEC
ZNF85	ENSG00000278091	protein_coding
KIR2DP1	ENSG00000278329	unprocessed_pseudogene
	ENSG00000263130	lncRNA
KIR2DL3	ENSG00000274108	protein_coding
SLC27A3	ENSG00000263163	protein_coding
KIR2DL1	ENSG00000277356	protein_coding
KIR3DL3	ENSG00000274786	protein_coding
	ENSG00000273752	snRNA
	ENSG00000281954	lncRNA
KIR2DS2	ENSG00000274438	protein_coding
NCR1	ENSG00000278025	protein_coding
KIR2DS3	ENSG00000277193	protein_coding
	ENSG00000276254	unprocessed_pseudogene
KIR2DL5A	ENSG00000276392	protein_coding
KIR3DL3	ENSG00000273502	protein_coding
KIR3DP1	ENSG00000276212	transcribed_unprocessed_pseudogene
LILRP1	ENSG00000276099	unprocessed_pseudogene
KIR2DL2	ENSG00000273578	protein_coding
KIR3DS1	ENSG00000276498	protein_coding
KIR3DS1	ENSG00000274465	protein_coding
KIR2DL4	ENSG00000278271	protein_coding
KIR3DL3	ENSG00000277596	protein_coding
	ENSG00000275059	unprocessed_pseudogene
KIR2DL3	ENSG00000276218	protein_coding
KIR2DS5	ENSG00000274563	protein_coding
	ENSG00000275321	unprocessed_pseudogene
BNIP3P24	ENSG00000280428	processed_pseudogene
	ENSG00000278625	snRNA
	ENSG00000280030	lncRNA
	ENSG00000276552	snRNA
KIR2DL4	ENSG00000277362	protein_coding
ZNF66	ENSG00000275050	protein_coding
KIR2DS4	ENSG00000274947	protein_coding
LILRP2	ENSG00000276243	transcribed_processed_pseudogene
	ENSG00000278432	unprocessed_pseudogene
KIR2DL2	ENSG00000276731	protein_coding
KIR2DL4	ENSG00000277750	protein_coding
LILRP1	ENSG00000277894	unprocessed_pseudogene
KIR2DP1	ENSG00000276279	unprocessed_pseudogene
	ENSG00000274082	unprocessed_pseudogene
	ENSG00000275168	snRNA
KIR2DL5A	ENSG00000276177	protein_coding
PIWIL1	ENSG00000275051	protein_coding
KIR3DL2	ENSG00000275262	protein_coding
KIR3DL3	ENSG00000274394	protein_coding
	ENSG00000262994	processed_pseudogene
KIR3DL2	ENSG00000275629	protein_coding
	ENSG00000269823	protein_coding
	ENSG00000262710	misc_RNA
	ENSG00000262469	misc_RNA
	ENSG00000276295	misc_RNA
	ENSG00000275531	misc_RNA
KRTAP9-2	ENSG00000262573	protein_coding
KRTAP9-10P	ENSG00000263115	unprocessed_pseudogene
	ENSG00000278833	transcribed_processed_pseudogene
KRTAP9-4	ENSG00000262896	protein_coding
KRTAP9-6	ENSG00000263263	protein_coding
	ENSG00000278277	protein_coding
KIR2DL4	ENSG00000277850	protein_coding
	ENSG00000277630	protein_coding
	ENSG00000276994	unprocessed_pseudogene
KRTAP9-7	ENSG00000262221	protein_coding
KIR2DL2	ENSG00000278692	protein_coding
KRTAP29-1	ENSG00000262542	protein_coding
KRTAP9-12P	ENSG00000262214	unprocessed_pseudogene
KRTAP9-11P	ENSG00000262946	unprocessed_pseudogene
KRTAP9-9	ENSG00000262594	protein_coding
	ENSG00000280579	lncRNA
KIR2DS2	ENSG00000275735	protein_coding
LILRP1	ENSG00000273546	unprocessed_pseudogene
	ENSG00000275782	snRNA
	ENSG00000280708	lncRNA
	ENSG00000281416	lncRNA
PPIAL4F	ENSG00000275974	protein_coding
LILRP2	ENSG00000276512	transcribed_unprocessed_pseudogene
DHX36	ENSG00000281763	protein_coding
	ENSG00000280460	TEC
KIR3DL3	ENSG00000274254	protein_coding
IMPDH1P5	ENSG00000282534	processed_pseudogene
	ENSG00000274574	snRNA
RNVU1-26	ENSG00000273990	snRNA
RNVU1-2A	ENSG00000273757	snRNA
DLG5	ENSG00000274429	protein_coding
LILRP2	ENSG00000273666	transcribed_processed_pseudogene
KIR3DL3	ENSG00000274763	protein_coding
KIR2DP1	ENSG00000274912	unprocessed_pseudogene
KIR3DP1	ENSG00000278691	transcribed_unprocessed_pseudogene
KIR3DP1	ENSG00000277560	unprocessed_pseudogene
KIR2DS4	ENSG00000276395	protein_coding
KIR2DL1	ENSG00000275522	protein_coding
KIR3DL2	ENSG00000275416	protein_coding
KIR3DL2	ENSG00000276882	protein_coding
KIR2DL1	ENSG00000276310	protein_coding
KIR2DS4	ENSG00000276465	protein_coding
	ENSG00000274623	snRNA
KIR3DL3	ENSG00000277392	protein_coding
	ENSG00000278793	snRNA
KIR3DL2	ENSG00000278758	protein_coding
ARHGEF26	ENSG00000277101	protein_coding
LINC01839	ENSG00000281738	lncRNA
KIR2DL1	ENSG00000274692	protein_coding
LINC02054	ENSG00000281250	lncRNA
RNU6-222P	ENSG00000277153	snRNA
LILRP1	ENSG00000273670	unprocessed_pseudogene
KIR2DP1	ENSG00000274476	unprocessed_pseudogene
	ENSG00000274971	protein_coding
	ENSG00000277456	unprocessed_pseudogene
KIR2DS4	ENSG00000275731	protein_coding
KIR2DS4	ENSG00000275353	protein_coding
KIR2DL4	ENSG00000278606	protein_coding
KIR2DL3	ENSG00000275623	protein_coding
KIR3DL3	ENSG00000275062	protein_coding
NCR1	ENSG00000277442	protein_coding
	ENSG00000277642	snRNA
KIR3DL2	ENSG00000278809	protein_coding
KIR3DL3	ENSG00000277028	protein_coding
FTCD	ENSG00000281775	protein_coding
	ENSG00000281513	lncRNA
	ENSG00000281081	lncRNA
	ENSG00000281464	lncRNA
ADI1	ENSG00000280830	protein_coding
KRTAP9-9	ENSG00000267728	protein_coding
	ENSG00000281048	lncRNA
TRAPPC12	ENSG00000274891	protein_coding
KRTAP9-2	ENSG00000263090	protein_coding
KRTAP9-4	ENSG00000262512	protein_coding
KRTAP9-3	ENSG00000262749	protein_coding
	ENSG00000276808	unprocessed_pseudogene
	ENSG00000275495	transcribed_unprocessed_pseudogene
KRTAP9-10P	ENSG00000263103	unprocessed_pseudogene
	ENSG00000278190	snRNA
	ENSG00000267635	protein_coding
KIR3DL1	ENSG00000278368	protein_coding
	ENSG00000267208	unprocessed_pseudogene
KRTAP29-1	ENSG00000262218	protein_coding
KIR3DL3	ENSG00000276084	protein_coding
ARHGEF26-AS1	ENSG00000281157	lncRNA
	ENSG00000280770	lncRNA
	ENSG00000281723	lncRNA
SNTG2	ENSG00000281020	protein_coding
	ENSG00000281753	lncRNA
FTCD-AS1	ENSG00000280541	lncRNA
KIR3DL2	ENSG00000277982	protein_coding
KIR2DL5A	ENSG00000278116	protein_coding
LSS	ENSG00000281289	protein_coding
	ENSG00000275500	protein_coding
KIR2DS1	ENSG00000276327	protein_coding
NCR1	ENSG00000275637	protein_coding
KIR2DL1	ENSG00000278495	protein_coding
TPO	ENSG00000277603	protein_coding
	ENSG00000274597	snRNA
	ENSG00000281149	unprocessed_pseudogene
	ENSG00000274708	snRNA
LINC01659	ENSG00000280986	lncRNA
SUDS3P1	ENSG00000274681	processed_pseudogene
ZDHHC8P1	ENSG00000281076	transcribed_unprocessed_pseudogene
PROP1	ENSG00000280635	protein_coding
LINC00254	ENSG00000282469	lncRNA
HS3ST6	ENSG00000276333	protein_coding
	ENSG00000282480	TEC
	ENSG00000282766	TEC
MEIOB	ENSG00000282650	lncRNA
CES5AP1	ENSG00000280839	transcribed_unprocessed_pseudogene
LINC02124	ENSG00000282069	lncRNA
	ENSG00000278140	snRNA
KRT20	ENSG00000263057	protein_coding
KCNQ2-AS1	ENSG00000281651	lncRNA
KIR2DS4	ENSG00000275351	protein_coding
	ENSG00000282103	lncRNA
	ENSG00000281374	transcribed_processed_pseudogene
FAM230I	ENSG00000274657	lncRNA
	ENSG00000282347	lncRNA
	ENSG00000282245	lncRNA
KIR2DL1	ENSG00000276625	protein_coding
KCNQ2	ENSG00000281151	protein_coding
SUDS3P1	ENSG00000281351	processed_pseudogene
ERICH1	ENSG00000282665	protein_coding
KIR2DL1	ENSG00000277833	protein_coding
KRTAP3-1	ENSG00000262068	protein_coding
	ENSG00000280559	lncRNA
KRTAP3-2	ENSG00000263296	protein_coding
	ENSG00000277428	misc_RNA
	ENSG00000280647	lncRNA
ZNF965P	ENSG00000282352	processed_pseudogene
GXYLT1P1	ENSG00000282037	processed_pseudogene
PROP1	ENSG00000274382	protein_coding
KRTAP4-9	ENSG00000262121	protein_coding
CYP4F34P	ENSG00000282782	unprocessed_pseudogene
LINC02557	ENSG00000281077	lncRNA
CNN2P12	ENSG00000282611	processed_pseudogene
SNX18P26	ENSG00000282677	processed_pseudogene
	ENSG00000276256	protein_coding
LINC00328-2P	ENSG00000282536	processed_pseudogene
	ENSG00000278573	pseudogene
ANKRD20A9P	ENSG00000282715	unprocessed_pseudogene
KRTAP2-4	ENSG00000263091	protein_coding
	ENSG00000281644	lncRNA
RNU6-55P	ENSG00000278853	snRNA
	ENSG00000252379	snRNA
KIR2DL3	ENSG00000276459	protein_coding
	ENSG00000264450	lncRNA
	ENSG00000277196	protein_coding
KIR2DL1	ENSG00000278248	protein_coding
KRT23	ENSG00000263309	protein_coding
	ENSG00000281104	lncRNA
ABCB11	ENSG00000276582	protein_coding
	ENSG00000281870	lncRNA
	ENSG00000278666	transcribed_unprocessed_pseudogene
	ENSG00000280892	lncRNA
SPATC1L	ENSG00000274679	protein_coding
G6PC2	ENSG00000278373	protein_coding
SLC45A2	ENSG00000281919	protein_coding
	ENSG00000277691	transcribed_unprocessed_pseudogene
KIR2DP1	ENSG00000277375	unprocessed_pseudogene
RXFP3	ENSG00000277069	protein_coding
KIR2DL3	ENSG00000275008	protein_coding
ADAMTS12	ENSG00000281690	protein_coding
	ENSG00000263270	lncRNA
KIR2DS3	ENSG00000275599	protein_coding
KIR2DL4	ENSG00000275317	protein_coding
	ENSG00000281254	processed_pseudogene
ABCB10P1	ENSG00000281173	processed_pseudogene
	ENSG00000277091	snRNA
GOLGA8DP	ENSG00000278508	transcribed_unprocessed_pseudogene
	ENSG00000280971	lncRNA
SPC25	ENSG00000277909	protein_coding
LINC02549	ENSG00000280737	lncRNA
KIR3DS1	ENSG00000274283	protein_coding
	ENSG00000275671	snRNA
KIR2DL3	ENSG00000274402	protein_coding
APOBEC3B-AS1	ENSG00000262679	lncRNA
	ENSG00000278817	protein_coding
	ENSG00000262536	unprocessed_pseudogene
APOBEC3A	ENSG00000262156	protein_coding
GARRE1	ENSG00000279389	protein_coding
	ENSG00000276017	protein_coding
	ENSG00000282233	lncRNA
KIR3DP1	ENSG00000275255	transcribed_unprocessed_pseudogene
DLG5-AS1	ENSG00000282770	lncRNA
TUBGCP5	ENSG00000280807	protein_coding
LILRP2	ENSG00000273528	transcribed_processed_pseudogene
	ENSG00000282690	lncRNA
RN7SL284P	ENSG00000276516	misc_RNA
	ENSG00000282753	lncRNA
RNU6-1266P	ENSG00000276274	snRNA
SEPTIN9-DT	ENSG00000282649	lncRNA
SEPTIN9	ENSG00000282302	protein_coding
KIR3DL2	ENSG00000276357	protein_coding
	ENSG00000262453	lncRNA
LSM14A	ENSG00000262860	protein_coding
KIR3DL1	ENSG00000275486	protein_coding
KRT40	ENSG00000262845	protein_coding
GOLGA6L1	ENSG00000278247	protein_coding
CRIM1	ENSG00000277354	protein_coding
ELMO2P1	ENSG00000280500	transcribed_unprocessed_pseudogene
RPL21P36	ENSG00000278476	processed_pseudogene
CRIM1-DT	ENSG00000279215	lncRNA
GOLGA8DP	ENSG00000278070	unprocessed_pseudogene
NOSTRIN	ENSG00000275326	protein_coding
MPHOSPH10P5	ENSG00000281737	unprocessed_pseudogene
ELMO2P1	ENSG00000281725	transcribed_unprocessed_pseudogene
	ENSG00000277567	snRNA
KRTAP1-1	ENSG00000262808	protein_coding
	ENSG00000281754	unprocessed_pseudogene
	ENSG00000262731	protein_coding
	ENSG00000280679	unprocessed_pseudogene
	ENSG00000280490	processed_pseudogene
	ENSG00000277046	misc_RNA
	ENSG00000281914	lncRNA
KRTAP4-11	ENSG00000263229	protein_coding
	ENSG00000262487	lncRNA
KRTAP2-5P	ENSG00000262376	unprocessed_pseudogene
CYFIP1	ENSG00000280618	protein_coding
KRTAP1-3	ENSG00000262347	protein_coding
KRTAP4-16	ENSG00000262520	protein_coding
KRT12	ENSG00000263243	protein_coding
	ENSG00000282734	lncRNA
	ENSG00000281997	lncRNA
	ENSG00000282141	lncRNA
	ENSG00000281232	lncRNA
DLGAP2-AS1	ENSG00000282001	lncRNA
	ENSG00000262113	processed_pseudogene
DLGAP2	ENSG00000282152	protein_coding
KRTAP1-5	ENSG00000261862	protein_coding
KRT39	ENSG00000262164	protein_coding
	ENSG00000281999	unprocessed_pseudogene
	ENSG00000282429	processed_pseudogene
	ENSG00000282044	lncRNA
	ENSG00000281062	transcribed_unprocessed_pseudogene
	ENSG00000281953	lncRNA
	ENSG00000281496	unprocessed_pseudogene
ANKRD18DP	ENSG00000281617	transcribed_unprocessed_pseudogene
CNTNAP2	ENSG00000278728	protein_coding
RPS17	ENSG00000278229	protein_coding
GOLGA6L22	ENSG00000274404	protein_coding
SLC25A51P1	ENSG00000281567	processed_pseudogene
ADH5P4	ENSG00000277364	processed_pseudogene
AADACL2	ENSG00000261846	protein_coding
	ENSG00000262892	processed_pseudogene
KRTAP3-4P	ENSG00000262616	unprocessed_pseudogene
	ENSG00000281537	processed_pseudogene
GOLGA8EP	ENSG00000278429	transcribed_unprocessed_pseudogene
KRTAP2-1	ENSG00000261852	protein_coding
	ENSG00000278633	protein_coding
SKA1	ENSG00000262634	protein_coding
	ENSG00000278066	pseudogene
	ENSG00000276938	lncRNA
METRNL	ENSG00000275031	protein_coding
	ENSG00000267237	unprocessed_pseudogene
KRTAP3-3	ENSG00000263101	protein_coding
	ENSG00000281577	processed_pseudogene
LILRP2	ENSG00000277271	transcribed_unprocessed_pseudogene
	ENSG00000267639	processed_pseudogene
LINC02066	ENSG00000262411	lncRNA
	ENSG00000281503	unprocessed_pseudogene
KRTAP2-3	ENSG00000262862	protein_coding
	ENSG00000280271	lncRNA
AADACL2-AS1	ENSG00000262466	lncRNA
RNU6-821P	ENSG00000274706	snRNA
	ENSG00000278747	snRNA
ZNF43	ENSG00000279566	protein_coding
KRTAP4-12	ENSG00000263236	protein_coding
KIR3DL3	ENSG00000274639	protein_coding
	ENSG00000279614	processed_pseudogene
KRTAP1-4	ENSG00000263242	protein_coding
HERC2P2	ENSG00000280787	transcribed_unprocessed_pseudogene
PAXBP1	ENSG00000263141	protein_coding
